rulename,tag
start_entry,STATEMENT_CONTROL
sql_statement,STATEMENT_CONTROL
835_1,STATEMENT_CONTROL
opt_end_of_input,STATEMENT_CONTROL
simple_statement_or_begin,STATEMENT_CONTROL
simple_statement,STATEMENT_CONTROL
deallocate,STATEMENT_MANAGEMENT
deallocate_or_drop,STATEMENT_MANAGEMENT
prepare,STATEMENT_MANAGEMENT
prepare_src,STATEMENT_MANAGEMENT
execute,STATEMENT_MANAGEMENT
844_2,STATEMENT_MANAGEMENT
execute_using,STATEMENT_MANAGEMENT
execute_var_list,STATEMENT_MANAGEMENT
execute_var_ident,STATEMENT_MANAGEMENT
help,STATEMENT_HELP
849_3,STATEMENT_HELP
change_replication_stmt,REPLICATION_MANAGEMENT
851_4,REPLICATION_MANAGEMENT
852_5,DDL_CREATE
filter_defs,REPLICATION_MANAGEMENT
filter_def,REPLICATION_MANAGEMENT
opt_filter_db_list,REPLICATION_MANAGEMENT
filter_db_list,REPLICATION_MANAGEMENT
filter_db_ident,REPLICATION_MANAGEMENT
opt_filter_db_pair_list,REPLICATION_MANAGEMENT
filter_db_pair_list,REPLICATION_MANAGEMENT
opt_filter_table_list,REPLICATION_MANAGEMENT
filter_table_list,REPLICATION_MANAGEMENT
filter_table_ident,REPLICATION_MANAGEMENT
opt_filter_string_list,REPLICATION_MANAGEMENT
filter_string_list,REPLICATION_MANAGEMENT
filter_string,REPLICATION_MANAGEMENT
source_defs,REPLICATION_MANAGEMENT
source_def,REPLICATION_MANAGEMENT
ignore_server_id_list,REPLICATION_MANAGEMENT
privilege_check_def,PRIVILEGES_SECURITY
table_primary_key_check_def,DDL_CREATE
assign_gtids_to_anonymous_transactions_def,REPLICATION_MANAGEMENT
source_tls_ciphersuites_def,REPLICATION_MANAGEMENT
source_file_def,REPLICATION_MANAGEMENT
opt_channel,REPLICATION_MANAGEMENT
create_table_stmt,DDL_CREATE
create_role_stmt,DDL_CREATE
create_resource_group_stmt,DDL_CREATE
create,DDL_CREATE
880_6,DDL_CREATE
create_srs_stmt,DDL_CREATE
srs_attributes,DDL_CREATE
default_role_clause,DDL_CREATE
create_index_stmt,DDL_CREATE
server_options_list,SERVER_ADMIN
server_option,SERVER_ADMIN
event_tail,DML_INSERT_REPLACE
888_7,DML_INSERT_REPLACE
ev_schedule_time,DML_INSERT_REPLACE
890_8,DML_INSERT_REPLACE
opt_ev_status,DML_INSERT_REPLACE
ev_starts,DML_INSERT_REPLACE
ev_ends,DML_INSERT_REPLACE
opt_ev_on_completion,DML_INSERT_REPLACE
ev_on_completion,DML_INSERT_REPLACE
opt_ev_comment,DML_INSERT_REPLACE
ev_sql_stmt,DML_INSERT_REPLACE
898_9,DML_INSERT_REPLACE
ev_sql_stmt_inner,DML_INSERT_REPLACE
sp_name,PROCEDURAL_LOGIC
sp_a_chistics,PROCEDURAL_LOGIC
sp_c_chistics,PROCEDURAL_LOGIC
sp_chistic,PROCEDURAL_LOGIC
sp_c_chistic,PROCEDURAL_LOGIC
sp_suid,PROCEDURAL_LOGIC
call_stmt,PROCEDURAL_LOGIC
opt_paren_expr_list,EXPRESSION_LOGIC
sp_fdparam_list,PROCEDURAL_LOGIC
sp_fdparams,PROCEDURAL_LOGIC
sp_fdparam,PROCEDURAL_LOGIC
sp_pdparam_list,PROCEDURAL_LOGIC
sp_pdparams,PROCEDURAL_LOGIC
sp_pdparam,PROCEDURAL_LOGIC
sp_opt_inout,PROCEDURAL_LOGIC
sp_proc_stmts,PROCEDURAL_LOGIC
sp_proc_stmts1,PROCEDURAL_LOGIC
sp_decls,PROCEDURAL_LOGIC
sp_decl,PROCEDURAL_LOGIC
919_10,PROCEDURAL_LOGIC
920_11,PROCEDURAL_LOGIC
sp_handler_type,PROCEDURAL_LOGIC
sp_hcond_list,PROCEDURAL_LOGIC
sp_hcond_element,PROCEDURAL_LOGIC
sp_cond,PROCEDURAL_LOGIC
sqlstate,PROCEDURAL_LOGIC
opt_value,PROCEDURAL_LOGIC
sp_hcond,PROCEDURAL_LOGIC
signal_stmt,PROCEDURAL_LOGIC
signal_value,PROCEDURAL_LOGIC
opt_signal_value,PROCEDURAL_LOGIC
opt_set_signal_information,PROCEDURAL_LOGIC
signal_information_item_list,PROCEDURAL_LOGIC
signal_allowed_expr,EXPRESSION_LOGIC
signal_condition_information_item_name,PROCEDURAL_LOGIC
resignal_stmt,PROCEDURAL_LOGIC
get_diagnostics,PROCEDURAL_LOGIC
which_area,PROCEDURAL_LOGIC
diagnostics_information,PROCEDURAL_LOGIC
statement_information,PROCEDURAL_LOGIC
statement_information_item,PROCEDURAL_LOGIC
simple_target_specification,PROCEDURAL_LOGIC
statement_information_item_name,PROCEDURAL_LOGIC
condition_number,PROCEDURAL_LOGIC
condition_information,PROCEDURAL_LOGIC
condition_information_item,PROCEDURAL_LOGIC
condition_information_item_name,PROCEDURAL_LOGIC
sp_decl_idents,PROCEDURAL_LOGIC
sp_opt_default,PROCEDURAL_LOGIC
sp_proc_stmt,PROCEDURAL_LOGIC
sp_proc_stmt_if,PROCEDURAL_LOGIC
951_12,PROCEDURAL_LOGIC
sp_proc_stmt_statement,PROCEDURAL_LOGIC
953_13,PROCEDURAL_LOGIC
sp_proc_stmt_return,PROCEDURAL_LOGIC
955_14,PROCEDURAL_LOGIC
sp_proc_stmt_unlabeled,PROCEDURAL_LOGIC
957_15,PROCEDURAL_LOGIC
sp_proc_stmt_leave,PROCEDURAL_LOGIC
sp_proc_stmt_iterate,PROCEDURAL_LOGIC
sp_proc_stmt_open,PROCEDURAL_LOGIC
962_16,PROCEDURAL_LOGIC
sp_proc_stmt_close,PROCEDURAL_LOGIC
sp_opt_fetch_noise,PROCEDURAL_LOGIC
sp_fetch_list,PROCEDURAL_LOGIC
sp_if,PROCEDURAL_LOGIC
967_17,PROCEDURAL_LOGIC
968_18,PROCEDURAL_LOGIC
969_19,PROCEDURAL_LOGIC
sp_elseifs,PROCEDURAL_LOGIC
case_stmt_specification,WINDOW_ANALYTICS
simple_case_stmt,WINDOW_ANALYTICS
973_20,WINDOW_ANALYTICS
974_21,WINDOW_ANALYTICS
searched_case_stmt,WINDOW_ANALYTICS
976_22,WINDOW_ANALYTICS
simple_when_clause_list,WINDOW_ANALYTICS
searched_when_clause_list,WINDOW_ANALYTICS
simple_when_clause,WINDOW_ANALYTICS
980_23,WINDOW_ANALYTICS
981_24,WINDOW_ANALYTICS
searched_when_clause,WINDOW_ANALYTICS
983_25,WINDOW_ANALYTICS
984_26,WINDOW_ANALYTICS
else_clause_opt,WINDOW_ANALYTICS
sp_labeled_control,PROCEDURAL_LOGIC
987_27,PROCEDURAL_LOGIC
sp_opt_label,PROCEDURAL_LOGIC
sp_labeled_block,PROCEDURAL_LOGIC
990_28,PROCEDURAL_LOGIC
sp_unlabeled_block,PROCEDURAL_LOGIC
992_29,PROCEDURAL_LOGIC
sp_block_content,PROCEDURAL_LOGIC
994_30,PROCEDURAL_LOGIC
sp_unlabeled_control,PROCEDURAL_LOGIC
996_31,PROCEDURAL_LOGIC
997_32,PROCEDURAL_LOGIC
998_33,PROCEDURAL_LOGIC
999_34,DDL_ALTER
trg_action_time,DDL_ALTER
trg_event,DDL_ALTER
opt_ts_datafile_name,PARTITIONING_STORAGE
opt_logfile_group_name,PARTITIONING_STORAGE
opt_tablespace_options,PARTITIONING_STORAGE
tablespace_option_list,PARTITIONING_STORAGE
tablespace_option,PARTITIONING_STORAGE
opt_alter_tablespace_options,PARTITIONING_STORAGE
alter_tablespace_option_list,PARTITIONING_STORAGE
alter_tablespace_option,PARTITIONING_STORAGE
opt_undo_tablespace_options,PARTITIONING_STORAGE
undo_tablespace_option_list,PARTITIONING_STORAGE
undo_tablespace_option,PARTITIONING_STORAGE
opt_logfile_group_options,PARTITIONING_STORAGE
logfile_group_option_list,PARTITIONING_STORAGE
logfile_group_option,PARTITIONING_STORAGE
opt_alter_logfile_group_options,PARTITIONING_STORAGE
alter_logfile_group_option_list,PARTITIONING_STORAGE
alter_logfile_group_option,PARTITIONING_STORAGE
ts_datafile,PARTITIONING_STORAGE
undo_tablespace_state,PARTITIONING_STORAGE
lg_undofile,PARTITIONING_STORAGE
ts_option_initial_size,PARTITIONING_STORAGE
ts_option_autoextend_size,PARTITIONING_STORAGE
option_autoextend_size,PARTITIONING_STORAGE
ts_option_max_size,PARTITIONING_STORAGE
ts_option_extent_size,PARTITIONING_STORAGE
ts_option_undo_buffer_size,PARTITIONING_STORAGE
ts_option_redo_buffer_size,PARTITIONING_STORAGE
ts_option_nodegroup,PARTITIONING_STORAGE
ts_option_comment,PARTITIONING_STORAGE
ts_option_engine,PARTITIONING_STORAGE
ts_option_file_block_size,PARTITIONING_STORAGE
ts_option_wait,PARTITIONING_STORAGE
ts_option_encryption,PARTITIONING_STORAGE
ts_option_engine_attribute,PARTITIONING_STORAGE
size_number,PARTITIONING_STORAGE
opt_create_table_options_etc,DDL_CREATE
opt_create_partitioning_etc,DDL_CREATE
opt_duplicate_as_qe,DML_INSERT_REPLACE
as_create_query_expression,DML_INSERT_REPLACE
partition_clause,PARTITIONING_STORAGE
part_type_def,PARTITIONING_STORAGE
opt_linear,PARTITIONING_STORAGE
opt_key_algo,PARTITIONING_STORAGE
opt_num_parts,PARTITIONING_STORAGE
opt_sub_part,PARTITIONING_STORAGE
opt_name_list,PARTITIONING_STORAGE
name_list,PARTITIONING_STORAGE
opt_num_subparts,PARTITIONING_STORAGE
opt_part_defs,PARTITIONING_STORAGE
part_def_list,PARTITIONING_STORAGE
part_definition,PARTITIONING_STORAGE
opt_part_values,PARTITIONING_STORAGE
part_func_max,PARTITIONING_STORAGE
part_values_in,PARTITIONING_STORAGE
part_value_list,PARTITIONING_STORAGE
part_value_item_list_paren,PARTITIONING_STORAGE
part_value_item_list,PARTITIONING_STORAGE
part_value_item,PARTITIONING_STORAGE
opt_sub_partition,PARTITIONING_STORAGE
sub_part_list,PARTITIONING_STORAGE
sub_part_definition,PARTITIONING_STORAGE
opt_part_options,PARTITIONING_STORAGE
part_option_list,PARTITIONING_STORAGE
part_option,PARTITIONING_STORAGE
alter_database_options,DDL_ALTER
alter_database_option,DDL_ALTER
opt_create_database_options,DDL_CREATE
create_database_options,DDL_CREATE
create_database_option,DDL_CREATE
opt_if_not_exists,DDL_CREATE
create_table_options_space_separated,DDL_CREATE
create_table_options,DDL_CREATE
opt_comma,DDL_CREATE
create_table_option,DDL_CREATE
ternary_option,DDL_CREATE
default_charset,DDL_CREATE
default_collation,DDL_CREATE
default_encryption,DDL_CREATE
row_types,DDL_CREATE
merge_insert_types,DML_INSERT_REPLACE
udf_type,DDL_CREATE
table_element_list,DDL_CREATE
table_element,DDL_CREATE
column_def,DDL_CREATE
opt_references,DDL_CREATE
table_constraint_def,DDL_CREATE
check_constraint,DDL_CREATE
opt_constraint_name,DDL_CREATE
opt_not,DDL_CREATE
opt_constraint_enforcement,DDL_CREATE
constraint_enforcement,DDL_CREATE
field_def,DDL_CREATE
opt_generated_always,DDL_CREATE
opt_stored_attribute,DDL_CREATE
type,DDL_CREATE
spatial_type,DDL_CREATE
nchar,DDL_CREATE
varchar,DDL_CREATE
nvarchar,DDL_CREATE
int_type,DDL_CREATE
real_type,DDL_CREATE
opt_PRECISION,DDL_CREATE
numeric_type,DDL_CREATE
standard_float_options,DDL_CREATE
float_options,DDL_CREATE
precision,DDL_CREATE
type_datetime_precision,DDL_CREATE
func_datetime_precision,DDL_CREATE
field_options,DDL_CREATE
field_opt_list,DDL_CREATE
field_option,DDL_CREATE
field_length,DDL_CREATE
opt_field_length,DDL_CREATE
opt_precision,DDL_CREATE
opt_column_attribute_list,DDL_CREATE
column_attribute_list,DDL_CREATE
column_attribute,DDL_CREATE
column_format,DDL_CREATE
storage_media,PARTITIONING_STORAGE
now,EXPRESSION_LOGIC
now_or_signed_literal,EXPRESSION_LOGIC
character_set,DDL_CREATE
charset_name,DDL_CREATE
opt_load_data_charset,DDL_CREATE
old_or_new_charset_name,DDL_CREATE
old_or_new_charset_name_or_default,DDL_CREATE
collation_name,DDL_CREATE
opt_collate,DDL_CREATE
opt_default,DDL_CREATE
ascii,DDL_CREATE
unicode,DDL_CREATE
opt_charset_with_opt_binary,DDL_CREATE
opt_bin_mod,DDL_CREATE
ws_num_codepoints,DDL_CREATE
1137_36,DDL_CREATE
opt_primary,DDL_CREATE
references,DDL_CREATE
opt_ref_list,DDL_CREATE
reference_list,DDL_CREATE
opt_match_clause,DDL_CREATE
opt_on_update_delete,DDL_CREATE
delete_option,DML_DELETE_TRUNCATE
constraint_key_type,DDL_CREATE
key_or_index,DDL_CREATE
opt_key_or_index,DDL_CREATE
keys_or_index,DDL_CREATE
opt_unique,DDL_CREATE
opt_fulltext_index_options,DDL_CREATE
fulltext_index_options,DDL_CREATE
fulltext_index_option,DDL_CREATE
opt_spatial_index_options,DDL_CREATE
spatial_index_options,DDL_CREATE
spatial_index_option,PARTITIONING_STORAGE
opt_index_options,PARTITIONING_STORAGE
index_options,PARTITIONING_STORAGE
index_option,PARTITIONING_STORAGE
common_index_option,PARTITIONING_STORAGE
opt_index_name_and_type,PARTITIONING_STORAGE
opt_index_type_clause,PARTITIONING_STORAGE
index_type_clause,PARTITIONING_STORAGE
visibility,PARTITIONING_STORAGE
index_type,PARTITIONING_STORAGE
key_list,PARTITIONING_STORAGE
key_part,PARTITIONING_STORAGE
key_list_with_expression,PARTITIONING_STORAGE
key_part_with_expression,PARTITIONING_STORAGE
opt_ident,EXPRESSION_LOGIC
string_list,EXPRESSION_LOGIC
alter_table_stmt,DDL_ALTER
alter_database_stmt,DDL_ALTER
1173_37,DDL_ALTER
alter_procedure_stmt,PROCEDURAL_LOGIC
1175_38,PROCEDURAL_LOGIC
alter_function_stmt,PROCEDURAL_LOGIC
1177_39,PROCEDURAL_LOGIC
alter_view_stmt,DDL_ALTER
1179_40,DDL_ALTER
1180_41,DDL_ALTER
alter_event_stmt,DDL_ALTER
1182_42,DDL_ALTER
alter_logfile_stmt,DDL_ALTER
