rulename,tag
start_entry,ENTRY_POINT
sql_statement,ENTRY_POINT
835_1,SYNTAX_ELEMENT
opt_end_of_input,OPTIONAL_MODIFIER
simple_statement_or_begin,ENTRY_POINT
simple_statement,ENTRY_POINT
deallocate,TRANSACTION_CONTROL
deallocate_or_drop,TRANSACTION_CONTROL
prepare,TRANSACTION_CONTROL
prepare_src,TRANSACTION_CONTROL
execute,TRANSACTION_CONTROL
844_2,SYNTAX_ELEMENT
execute_using,TRANSACTION_CONTROL
execute_var_list,IDENTIFIER
execute_var_ident,IDENTIFIER
help,ADMINISTRATIVE
849_3,SYNTAX_ELEMENT
change_replication_stmt,REPLICATION_CLUSTER
851_4,SYNTAX_ELEMENT
852_5,SYNTAX_ELEMENT
filter_defs,REPLICATION_CLUSTER
filter_def,REPLICATION_CLUSTER
opt_filter_db_list,OPTIONAL_MODIFIER
filter_db_list,REPLICATION_CLUSTER
filter_db_ident,IDENTIFIER
opt_filter_db_pair_list,OPTIONAL_MODIFIER
filter_db_pair_list,REPLICATION_CLUSTER
opt_filter_table_list,OPTIONAL_MODIFIER
filter_table_list,REPLICATION_CLUSTER
filter_table_ident,IDENTIFIER
opt_filter_string_list,OPTIONAL_MODIFIER
filter_string_list,REPLICATION_CLUSTER
filter_string,LITERAL_VALUE
source_defs,REPLICATION_CLUSTER
source_def,REPLICATION_CLUSTER
ignore_server_id_list,REPLICATION_CLUSTER
ignore_server_id,REPLICATION_CLUSTER
privilege_check_def,USER_MANAGEMENT
table_primary_key_check_def,CONSTRAINT_DEFINITION
assign_gtids_to_anonymous_transactions_def,REPLICATION_CLUSTER
source_tls_ciphersuites_def,REPLICATION_CLUSTER
source_file_def,REPLICATION_CLUSTER
opt_channel,OPTIONAL_MODIFIER
create_table_stmt,DDL_STATEMENT
create_role_stmt,USER_MANAGEMENT
create_resource_group_stmt,ADMINISTRATIVE
create,DDL_STATEMENT
880_6,SYNTAX_ELEMENT
create_srs_stmt,DDL_STATEMENT
srs_attributes,DDL_STATEMENT
default_role_clause,USER_MANAGEMENT
create_index_stmt,DDL_STATEMENT
server_options_list,ADMINISTRATIVE
server_option,ADMINISTRATIVE
event_tail,DDL_STATEMENT
888_7,SYNTAX_ELEMENT
ev_schedule_time,DDL_STATEMENT
890_8,SYNTAX_ELEMENT
opt_ev_status,OPTIONAL_MODIFIER
ev_starts,DDL_STATEMENT
ev_ends,DDL_STATEMENT
opt_ev_on_completion,OPTIONAL_MODIFIER
ev_on_completion,DDL_STATEMENT
opt_ev_comment,OPTIONAL_MODIFIER
ev_sql_stmt,DDL_STATEMENT
898_9,SYNTAX_ELEMENT
ev_sql_stmt_inner,DDL_STATEMENT
sp_name,IDENTIFIER
sp_a_chistics,STORED_PROCEDURE
sp_c_chistics,STORED_PROCEDURE
sp_chistic,STORED_PROCEDURE
sp_c_chistic,STORED_PROCEDURE
sp_suid,USER_MANAGEMENT
call_stmt,STORED_PROCEDURE
opt_paren_expr_list,OPTIONAL_MODIFIER
sp_fdparam_list,STORED_PROCEDURE
sp_fdparams,STORED_PROCEDURE
sp_fdparam,STORED_PROCEDURE
sp_pdparam_list,STORED_PROCEDURE
sp_pdparams,STORED_PROCEDURE
sp_pdparam,STORED_PROCEDURE
sp_opt_inout,OPTIONAL_MODIFIER
sp_proc_stmts,STORED_PROCEDURE
sp_proc_stmts1,STORED_PROCEDURE
sp_decls,STORED_PROCEDURE
sp_decl,STORED_PROCEDURE
919_10,SYNTAX_ELEMENT
920_11,SYNTAX_ELEMENT
sp_handler_type,STORED_PROCEDURE
sp_hcond_list,STORED_PROCEDURE
sp_hcond_element,STORED_PROCEDURE
sp_cond,STORED_PROCEDURE
sqlstate,STORED_PROCEDURE
opt_value,OPTIONAL_MODIFIER
sp_hcond,STORED_PROCEDURE
signal_stmt,STORED_PROCEDURE
signal_value,STORED_PROCEDURE
opt_signal_value,OPTIONAL_MODIFIER
opt_set_signal_information,OPTIONAL_MODIFIER
signal_information_item_list,STORED_PROCEDURE
signal_allowed_expr,EXPRESSION
signal_condition_information_item_name,STORED_PROCEDURE
resignal_stmt,STORED_PROCEDURE
get_diagnostics,STORED_PROCEDURE
which_area,STORED_PROCEDURE
diagnostics_information,STORED_PROCEDURE
statement_information,STORED_PROCEDURE
statement_information_item,STORED_PROCEDURE
simple_target_specification,STORED_PROCEDURE
statement_information_item_name,STORED_PROCEDURE
condition_number,STORED_PROCEDURE
condition_information,STORED_PROCEDURE
condition_information_item,STORED_PROCEDURE
condition_information_item_name,STORED_PROCEDURE
sp_decl_idents,IDENTIFIER
sp_opt_default,OPTIONAL_MODIFIER
sp_proc_stmt,STORED_PROCEDURE
sp_proc_stmt_if,STORED_PROCEDURE
951_12,SYNTAX_ELEMENT
sp_proc_stmt_statement,STORED_PROCEDURE
953_13,SYNTAX_ELEMENT
sp_proc_stmt_return,STORED_PROCEDURE
955_14,SYNTAX_ELEMENT
sp_proc_stmt_unlabeled,STORED_PROCEDURE
957_15,SYNTAX_ELEMENT
sp_proc_stmt_leave,STORED_PROCEDURE
sp_proc_stmt_iterate,STORED_PROCEDURE
sp_proc_stmt_open,STORED_PROCEDURE
sp_proc_stmt_fetch,STORED_PROCEDURE
962_16,SYNTAX_ELEMENT
sp_proc_stmt_close,STORED_PROCEDURE
sp_opt_fetch_noise,OPTIONAL_MODIFIER
sp_fetch_list,STORED_PROCEDURE
sp_if,STORED_PROCEDURE
967_17,SYNTAX_ELEMENT
968_18,SYNTAX_ELEMENT
969_19,SYNTAX_ELEMENT
sp_elseifs,STORED_PROCEDURE
case_stmt_specification,STORED_PROCEDURE
simple_case_stmt,STORED_PROCEDURE
973_20,SYNTAX_ELEMENT
974_21,SYNTAX_ELEMENT
searched_case_stmt,STORED_PROCEDURE
976_22,SYNTAX_ELEMENT
simple_when_clause_list,STORED_PROCEDURE
searched_when_clause_list,STORED_PROCEDURE
simple_when_clause,STORED_PROCEDURE
980_23,SYNTAX_ELEMENT
981_24,SYNTAX_ELEMENT
searched_when_clause,STORED_PROCEDURE
983_25,SYNTAX_ELEMENT
984_26,SYNTAX_ELEMENT
else_clause_opt,OPTIONAL_MODIFIER
sp_labeled_control,STORED_PROCEDURE
987_27,SYNTAX_ELEMENT
sp_opt_label,OPTIONAL_MODIFIER
sp_labeled_block,STORED_PROCEDURE
990_28,SYNTAX_ELEMENT
sp_unlabeled_block,STORED_PROCEDURE
992_29,SYNTAX_ELEMENT
sp_block_content,STORED_PROCEDURE
994_30,SYNTAX_ELEMENT
sp_unlabeled_control,STORED_PROCEDURE
996_31,SYNTAX_ELEMENT
997_32,SYNTAX_ELEMENT
998_33,SYNTAX_ELEMENT
999_34,SYNTAX_ELEMENT
trg_action_time,DDL_STATEMENT
trg_event,DDL_STATEMENT
opt_ts_datafile_name,OPTIONAL_MODIFIER
opt_logfile_group_name,OPTIONAL_MODIFIER
opt_tablespace_options,OPTIONAL_MODIFIER
tablespace_option_list,DDL_STATEMENT
tablespace_option,DDL_STATEMENT
opt_alter_tablespace_options,OPTIONAL_MODIFIER
alter_tablespace_option_list,DDL_STATEMENT
alter_tablespace_option,DDL_STATEMENT
opt_undo_tablespace_options,OPTIONAL_MODIFIER
undo_tablespace_option_list,DDL_STATEMENT
undo_tablespace_option,DDL_STATEMENT
opt_logfile_group_options,OPTIONAL_MODIFIER
logfile_group_option_list,DDL_STATEMENT
logfile_group_option,DDL_STATEMENT
opt_alter_logfile_group_options,OPTIONAL_MODIFIER
alter_logfile_group_option_list,DDL_STATEMENT
alter_logfile_group_option,DDL_STATEMENT
ts_datafile,DDL_STATEMENT
undo_tablespace_state,DDL_STATEMENT
lg_undofile,DDL_STATEMENT
ts_option_initial_size,DDL_STATEMENT
ts_option_autoextend_size,DDL_STATEMENT
option_autoextend_size,DDL_STATEMENT
ts_option_max_size,DDL_STATEMENT
ts_option_extent_size,DDL_STATEMENT
ts_option_undo_buffer_size,DDL_STATEMENT
ts_option_redo_buffer_size,DDL_STATEMENT
ts_option_nodegroup,DDL_STATEMENT
ts_option_comment,DDL_STATEMENT
ts_option_engine,DDL_STATEMENT
ts_option_file_block_size,DDL_STATEMENT
ts_option_wait,DDL_STATEMENT
ts_option_encryption,DDL_STATEMENT
ts_option_engine_attribute,DDL_STATEMENT
size_number,LITERAL_VALUE
opt_create_table_options_etc,OPTIONAL_MODIFIER
opt_create_partitioning_etc,OPTIONAL_MODIFIER
opt_duplicate_as_qe,OPTIONAL_MODIFIER
as_create_query_expression,QUERY_STRUCTURE
partition_clause,DDL_STATEMENT
part_type_def,DDL_STATEMENT
opt_linear,OPTIONAL_MODIFIER
opt_key_algo,OPTIONAL_MODIFIER
opt_num_parts,OPTIONAL_MODIFIER
opt_sub_part,OPTIONAL_MODIFIER
opt_name_list,OPTIONAL_MODIFIER
name_list,IDENTIFIER
opt_num_subparts,OPTIONAL_MODIFIER
opt_part_defs,OPTIONAL_MODIFIER
part_def_list,DDL_STATEMENT
part_definition,DDL_STATEMENT
opt_part_values,OPTIONAL_MODIFIER
part_func_max,DDL_STATEMENT
part_values_in,DDL_STATEMENT
part_value_list,DDL_STATEMENT
part_value_item_list_paren,DDL_STATEMENT
1058_35,SYNTAX_ELEMENT
part_value_item_list,DDL_STATEMENT
part_value_item,DDL_STATEMENT
opt_sub_partition,OPTIONAL_MODIFIER
sub_part_list,DDL_STATEMENT
sub_part_definition,DDL_STATEMENT
opt_part_options,OPTIONAL_MODIFIER
part_option_list,DDL_STATEMENT
part_option,DDL_STATEMENT
alter_database_options,DDL_STATEMENT
alter_database_option,DDL_STATEMENT
opt_create_database_options,OPTIONAL_MODIFIER
create_database_options,DDL_STATEMENT
create_database_option,DDL_STATEMENT
opt_if_not_exists,OPTIONAL_MODIFIER
create_table_options_space_separated,DDL_STATEMENT
create_table_options,DDL_STATEMENT
opt_comma,OPTIONAL_MODIFIER
create_table_option,DDL_STATEMENT
ternary_option,DDL_STATEMENT
default_charset,DDL_STATEMENT
default_collation,DDL_STATEMENT
default_encryption,DDL_STATEMENT
row_types,DDL_STATEMENT
merge_insert_types,DDL_STATEMENT
udf_type,DATA_TYPE
table_element_list,DDL_STATEMENT
table_element,DDL_STATEMENT
column_def,DDL_STATEMENT
opt_references,OPTIONAL_MODIFIER
table_constraint_def,CONSTRAINT_DEFINITION
check_constraint,CONSTRAINT_DEFINITION
opt_constraint_name,OPTIONAL_MODIFIER
opt_not,OPTIONAL_MODIFIER
