rulename,tag
start_entry,Utility-Statement
sql_statement,Utility-Statement
835_1,Utility-Statement
opt_end_of_input,Clause-Modifier
simple_statement_or_begin,Utility-Statement
simple_statement,Utility-Statement
deallocate,Utility-Statement
deallocate_or_drop,Utility-Statement
prepare,Utility-Statement
prepare_src,Utility-Statement
execute,Utility-Statement
844_2,Utility-Statement
execute_using,Utility-Statement
execute_var_list,Options-List
execute_var_ident,Identifier
help,Utility-Statement
849_3,Utility-Statement
change_replication_stmt,Replication-Control
851_4,Utility-Statement
852_5,Utility-Statement
filter_defs,Options-List
filter_def,Options-List
opt_filter_db_list,Options-List
filter_db_list,Options-List
filter_db_ident,Identifier
opt_filter_db_pair_list,Options-List
filter_db_pair_list,Options-List
opt_filter_table_list,Options-List
filter_table_list,Options-List
filter_table_ident,Identifier
opt_filter_string_list,Options-List
filter_string_list,Options-List
filter_string,Literal
source_defs,Options-List
source_def,Options-List
ignore_server_id_list,Options-List
ignore_server_id,Options-List
privilege_check_def,Privilege-Control
table_primary_key_check_def,Constraint
assign_gtids_to_anonymous_transactions_def,Options-List
source_tls_ciphersuites_def,Options-List
source_file_def,Options-List
opt_channel,Options-List
create_table_stmt,DDL-Statement
create_role_stmt,DDL-Statement
create_resource_group_stmt,DDL-Statement
create,DDL-Statement
880_6,DDL-Statement
create_srs_stmt,DDL-Statement
srs_attributes,Options-List
default_role_clause,Options-List
create_index_stmt,Index-Definition
server_options_list,Options-List
server_option,Options-List
event_tail,Event-Scheduling
888_7,Event-Scheduling
ev_schedule_time,Event-Scheduling
890_8,Event-Scheduling
opt_ev_status,Event-Scheduling
ev_starts,Event-Scheduling
ev_ends,Event-Scheduling
opt_ev_on_completion,Event-Scheduling
ev_on_completion,Event-Scheduling
opt_ev_comment,Event-Scheduling
ev_sql_stmt,Event-Scheduling
898_9,Event-Scheduling
ev_sql_stmt_inner,Event-Scheduling
sp_name,Stored-Program
sp_a_chistics,Stored-Program
sp_c_chistics,Stored-Program
sp_chistic,Stored-Program
sp_c_chistic,Stored-Program
sp_suid,Stored-Program
call_stmt,Stored-Program
opt_paren_expr_list,Options-List
sp_fdparam_list,Stored-Program
sp_fdparams,Stored-Program
sp_fdparam,Stored-Program
sp_pdparam_list,Stored-Program
sp_pdparams,Stored-Program
sp_pdparam,Stored-Program
sp_opt_inout,Stored-Program
sp_proc_stmts,Stored-Program
sp_proc_stmts1,Stored-Program
sp_decls,Stored-Program
sp_decl,Stored-Program
919_10,Stored-Program
920_11,Stored-Program
sp_handler_type,Stored-Program
sp_hcond_list,Stored-Program
sp_hcond_element,Stored-Program
sp_cond,Stored-Program
sqlstate,Literal
opt_value,Options-List
sp_hcond,Stored-Program
signal_stmt,Stored-Program
signal_value,Stored-Program
opt_signal_value,Stored-Program
opt_set_signal_information,Stored-Program
signal_information_item_list,Stored-Program
signal_allowed_expr,Expression
signal_condition_information_item_name,Identifier
resignal_stmt,Stored-Program
get_diagnostics,Stored-Program
which_area,Identifier
diagnostics_information,Options-List
statement_information,Options-List
statement_information_item,Options-List
simple_target_specification,Identifier
statement_information_item_name,Identifier
condition_number,Literal
condition_information,Options-List
condition_information_item,Options-List
condition_information_item_name,Identifier
sp_decl_idents,Identifier
sp_opt_default,Options-List
sp_proc_stmt,Stored-Program
sp_proc_stmt_if,Stored-Program
951_12,Stored-Program
sp_proc_stmt_statement,Stored-Program
953_13,Stored-Program
sp_proc_stmt_return,Stored-Program
955_14,Stored-Program
sp_proc_stmt_unlabeled,Stored-Program
957_15,Stored-Program
sp_proc_stmt_leave,Stored-Program
sp_proc_stmt_iterate,Stored-Program
sp_proc_stmt_open,Stored-Program
sp_proc_stmt_fetch,Stored-Program
962_16,Stored-Program
sp_proc_stmt_close,Stored-Program
sp_opt_fetch_noise,Options-List
sp_fetch_list,Options-List
sp_if,Stored-Program
967_17,Stored-Program
