"rulename","tag"
"start_entry","DML"
"sql_statement","DML"
"835_1","DML"
"opt_end_of_input","DML"
"simple_statement_or_begin","DML"
"simple_statement","DML"
"deallocate","DCL"
"deallocate_or_drop","DCL"
"prepare","DML"
"prepare_src","DML"
"execute","DML"
"844_2","DML"
"execute_using","DML"
"execute_var_list","DML"
"execute_var_ident","DML"
"help","Utility"
"849_3","DML"
"change_replication_stmt","Server"
"851_4","Server"
"852_5","Server"
"filter_defs","Server"
"filter_def","Server"
"opt_filter_db_list","Server"
"filter_db_list","Server"
"filter_db_ident","Server"
"opt_filter_db_pair_list","Server"
"filter_db_pair_list","Server"
"opt_filter_table_list","Server"
"filter_table_list","Server"
"filter_table_ident","Server"
"opt_filter_string_list","Server"
"filter_string_list","Server"
"filter_string","Server"
"source_defs","Server"
"source_def","Server"
"ignore_server_id_list","Server"
"ignore_server_id","Server"
"privilege_check_def","DCL"
"table_primary_key_check_def","DCL"
"assign_gtids_to_anonymous_transactions_def","Server"
"source_tls_ciphersuites_def","Security"
"source_file_def","Server"
"opt_channel","Server"
"create_table_stmt","DDL"
"create_role_stmt","DCL"
"create_resource_group_stmt","DCL"
"create","DDL"
"880_6","DDL"
"create_srs_stmt","DDL"
"srs_attributes","DDL"
"default_role_clause","DCL"
"create_index_stmt","DDL"
"server_options_list","Server"
"server_option","Server"
"event_tail","Event"
"888_7","Event"
"ev_schedule_time","Event"
"890_8","Event"
"opt_ev_status","Event"
"ev_starts","Event"
"ev_ends","Event"
"opt_ev_on_completion","Event"
"ev_on_completion","Event"
"opt_ev_comment","Event"
"ev_sql_stmt","Event"
"898_9","Event"
"ev_sql_stmt_inner","Event"
"sp_name","Procedure"
"sp_a_chistics","Procedure"
"sp_c_chistics","Procedure"
"sp_chistic","Procedure"
"sp_c_chistic","Procedure"
"sp_suid","Procedure"
"call_stmt","Procedure"
"opt_paren_expr_list","Procedure"
"sp_fdparam_list","Procedure"
"sp_fdparams","Procedure"
"sp_fdparam","Procedure"
"sp_pdparam_list","Procedure"
"sp_pdparams","Procedure"
"sp_pdparam","Procedure"
"sp_opt_inout","Procedure"
"sp_proc_stmts","Procedure"
"sp_proc_stmts1","Procedure"
"sp_decls","Procedure"
"sp_decl","Procedure"
"919_10","Procedure"
"920_11","Procedure"
"sp_handler_type","Procedure"
"sp_hcond_list","Procedure"
"sp_hcond_element","Procedure"
"sp_cond","Procedure"
"sqlstate","Procedure"
"opt_value","Procedure"
"sp_hcond","Procedure"
"signal_stmt","Procedure"
"signal_value","Procedure"
"opt_signal_value","Procedure"
"opt_set_signal_information","Procedure"
"signal_information_item_list","Procedure"
"signal_allowed_expr","Procedure"
"signal_condition_information_item_name","Procedure"
"resignal_stmt","Procedure"
"get_diagnostics","Procedure"
"which_area","Procedure"
"diagnostics_information","Procedure"
"statement_information","Procedure"
"statement_information_item","Procedure"
"simple_target_specification","Procedure"
"statement_information_item_name","Procedure"
"condition_number","Procedure"
"condition_information","Procedure"
"condition_information_item","Procedure"
"condition_information_item_name","Procedure"
"sp_decl_idents","Procedure"
"sp_opt_default","Procedure"
"sp_proc_stmt","Procedure"
"sp_proc_stmt_if","Procedure"
"951_12","Procedure"
"sp_proc_stmt_statement","Procedure"
"953_13","Procedure"
"sp_proc_stmt_return","Procedure"
"955_14","Procedure"
"sp_proc_stmt_unlabeled","Procedure"
"957_15","Procedure"
"sp_proc_stmt_leave","Procedure"
"sp_proc_stmt_iterate","Procedure"
"sp_proc_stmt_open","Procedure"
"sp_proc_stmt_fetch","Procedure"
"962_16","Procedure"
"sp_proc_stmt_close","Procedure"
"sp_opt_fetch_noise","Procedure"
"sp_fetch_list","Procedure"
"sp_if","Procedure"
"967_17","Procedure"
