rulename,tag
start_entry,Statement Control
sql_statement,Statement Control
835_1,Statement Control
opt_end_of_input,Statement Control
simple_statement_or_begin,Statement Control
simple_statement,Statement Control
deallocate,Stored Procedures & Functions
deallocate_or_drop,Stored Procedures & Functions
prepare,Stored Procedures & Functions
prepare_src,Stored Procedures & Functions
execute,Stored Procedures & Functions
844_2,Stored Procedures & Functions
execute_using,Stored Procedures & Functions
execute_var_list,Stored Procedures & Functions
execute_var_ident,Stored Procedures & Functions
help,System Information
849_3,System Information
change_replication_stmt,Replication & Clustering
851_4,Replication & Clustering
852_5,Replication & Clustering
filter_defs,Security & Privileges
filter_def,Security & Privileges
opt_filter_db_list,Security & Privileges
filter_db_list,Security & Privileges
filter_db_ident,Security & Privileges
opt_filter_db_pair_list,Security & Privileges
filter_db_pair_list,Security & Privileges
opt_filter_table_list,Security & Privileges
filter_table_list,Security & Privileges
filter_table_ident,Security & Privileges
opt_filter_string_list,Security & Privileges
filter_string_list,Security & Privileges
filter_string,Security & Privileges
source_defs,Replication & Clustering
source_def,Replication & Clustering
ignore_server_id_list,Replication & Clustering
ignore_server_id,Replication & Clustering
privilege_check_def,Security & Privileges
table_primary_key_check_def,Data Definition
assign_gtids_to_anonymous_transactions_def,Transaction Control
source_tls_ciphersuites_def,Security & Privileges
source_file_def,Data Import/Export
opt_channel,Replication & Clustering
create_table_stmt,Data Definition
create_role_stmt,User Management
create_resource_group_stmt,Resource Management
create,Data Definition
880_6,Data Definition
create_srs_stmt,Data Definition
srs_attributes,Data Definition
default_role_clause,User Management
create_index_stmt,Data Definition
server_options_list,System Variables
server_option,System Variables
event_tail,Triggers & Events
888_7,Triggers & Events
ev_schedule_time,Triggers & Events
890_8,Triggers & Events
opt_ev_status,Triggers & Events
ev_starts,Triggers & Events
ev_ends,Triggers & Events
opt_ev_on_completion,Triggers & Events
ev_on_completion,Triggers & Events
opt_ev_comment,Triggers & Events
ev_sql_stmt,Triggers & Events
898_9,Triggers & Events
ev_sql_stmt_inner,Triggers & Events
sp_name,Stored Procedures & Functions
sp_a_chistics,Stored Procedures & Functions
sp_c_chistics,Stored Procedures & Functions
sp_chistic,Stored Procedures & Functions
sp_c_chistic,Stored Procedures & Functions
sp_suid,Stored Procedures & Functions
call_stmt,Stored Procedures & Functions
opt_paren_expr_list,Stored Procedures & Functions
sp_fdparam_list,Stored Procedures & Functions
sp_fdparams,Stored Procedures & Functions
sp_fdparam,Stored Procedures & Functions
sp_pdparam_list,Stored Procedures & Functions
sp_pdparams,Stored Procedures & Functions
sp_pdparam,Stored Procedures & Functions
sp_opt_inout,Stored Procedures & Functions
sp_proc_stmts,Stored Procedures & Functions
sp_proc_stmts1,Stored Procedures & Functions
sp_decls,Stored Procedures & Functions
sp_decl,Stored Procedures & Functions
919_10,Stored Procedures & Functions
920_11,Stored Procedures & Functions
sp_handler_type,Stored Procedures & Functions
sp_hcond_list,Stored Procedures & Functions
sp_hcond_element,Stored Procedures & Functions
sp_cond,Stored Procedures & Functions
sqlstate,Stored Procedures & Functions
opt_value,Stored Procedures & Functions
sp_hcond,Stored Procedures & Functions
signal_stmt,Stored Procedures & Functions
signal_value,Stored Procedures & Functions
opt_signal_value,Stored Procedures & Functions
opt_set_signal_information,Stored Procedures & Functions
signal_information_item_list,Stored Procedures & Functions
signal_allowed_expr,Stored Procedures & Functions
signal_condition_information_item_name,Stored Procedures & Functions
resignal_stmt,Stored Procedures & Functions
get_diagnostics,Stored Procedures & Functions
which_area,Stored Procedures & Functions
diagnostics_information,Stored Procedures & Functions
statement_information,Stored Procedures & Functions
statement_information_item,Stored Procedures & Functions
simple_target_specification,Stored Procedures & Functions
statement_information_item_name,Stored Procedures & Functions
condition_number,Stored Procedures & Functions
condition_information,Stored Procedures & Functions
condition_information_item,Stored Procedures & Functions
condition_information_item_name,Stored Procedures & Functions
sp_decl_idents,Stored Procedures & Functions
sp_opt_default,Stored Procedures & Functions
sp_proc_stmt,Stored Procedures & Functions
sp_proc_stmt_if,Stored Procedures & Functions
951_12,Stored Procedures & Functions
sp_proc_stmt_statement,Stored Procedures & Functions
953_13,Stored Procedures & Functions
sp_proc_stmt_return,Stored Procedures & Functions
955_14,Stored Procedures & Functions
sp_proc_stmt_unlabeled,Stored Procedures & Functions
957_15,Stored Procedures & Functions
sp_proc_stmt_leave,Stored Procedures & Functions
sp_proc_stmt_iterate,Stored Procedures & Functions
sp_proc_stmt_open,Stored Procedures & Functions
sp_proc_stmt_fetch,Stored Procedures & Functions
962_16,Stored Procedures & Functions
sp_proc_stmt_close,Stored Procedures & Functions
sp_opt_fetch_noise,Stored Procedures & Functions
sp_fetch_list,Stored Procedures & Functions
sp_if,Stored Procedures & Functions
967_17,Stored Procedures & Functions
968_18,Stored Procedures & Functions
969_19,Stored Procedures & Functions
sp_elseifs,Stored Procedures & Functions
case_stmt_specification,Stored Procedures & Functions
simple_case_stmt,Stored Procedures & Functions
973_20,Stored Procedures & Functions
974_21,Stored Procedures & Functions
searched_case_stmt,Stored Procedures & Functions
976_22,Stored Procedures & Functions
simple_when_clause_list,Stored Procedures & Functions
searched_when_clause_list,Stored Procedures & Functions
simple_when_clause,Stored Procedures & Functions
980_23,Stored Procedures & Functions
981_24,Stored Procedures & Functions
searched_when_clause,Stored Procedures & Functions
983_25,Stored Procedures & Functions
984_26,Stored Procedures & Functions
else_clause_opt,Stored Procedures & Functions
sp_labeled_control,Stored Procedures & Functions
987_27,Stored Procedures & Functions
sp_opt_label,Stored Procedures & Functions
sp_labeled_block,Stored Procedures & Functions
990_28,Stored Procedures & Functions
sp_unlabeled_block,Stored Procedures & Functions
992_29,Stored Procedures & Functions
sp_block_content,Stored Procedures & Functions
994_30,Stored Procedures & Functions
sp_unlabeled_control,Stored Procedures & Functions
996_31,Stored Procedures & Functions
997_32,Stored Procedures & Functions
998_33,Stored Procedures & Functions
999_34,Stored Procedures & Functions
trg_action_time,Triggers & Events
trg_event,Triggers & Events
opt_ts_datafile_name,Data Definition
opt_logfile_group_name,Data Definition
opt_tablespace_options,Data Definition
tablespace_option_list,Data Definition
tablespace_option,Data Definition
opt_alter_tablespace_options,Data Definition
alter_tablespace_option_list,Data Definition
alter_tablespace_option,Data Definition
opt_undo_tablespace_options,Data Definition
undo_tablespace_option_list,Data Definition
undo_tablespace_option,Data Definition
opt_logfile_group_options,Data Definition
logfile_group_option_list,Data Definition
logfile_group_option,Data Definition
opt_alter_logfile_group_options,Data Definition
alter_logfile_group_option_list,Data Definition
alter_logfile_group_option,Data Definition
ts_datafile,Data Definition
undo_tablespace_state,Data Definition
lg_undofile,Data Definition
ts_option_initial_size,Data Definition
ts_option_autoextend_size,Data Definition
option_autoextend_size,Data Definition
ts_option_max_size,Data Definition
ts_option_extent_size,Data Definition
ts_option_undo_buffer_size,Data Definition
ts_option_redo_buffer_size,Data Definition
ts_option_nodegroup,Data Definition
ts_option_comment,Data Definition
ts_option_engine,Data Definition
ts_option_file_block_size,Data Definition
ts_option_wait,Data Definition
ts_option_encryption,Data Definition
ts_option_engine_attribute,Data Definition
size_number,Data Definition
opt_create_table_options_etc,Data Definition
opt_create_partitioning_etc,Data Definition
opt_duplicate_as_qe,Data Definition
as_create_query_expression,Data Definition
partition_clause,Data Definition
part_type_def,Data Definition
opt_linear,Data Definition
opt_key_algo,Data Definition
opt_num_parts,Data Definition
opt_sub_part,Data Definition
opt_name_list,Data Definition
name_list,Data Definition
opt_num_subparts,Data Definition
opt_part_defs,Data Definition
part_def_list,Data Definition
part_definition,Data Definition
opt_part_values,Data Definition
part_func_max,Data Definition
part_values_in,Data Definition
part_value_list,Data Definition
part_value_item_list_paren,Data Definition
1058_35,Data Definition
part_value_item_list,Data Definition
part_value_item,Data Definition
opt_sub_partition,Data Definition
sub_part_list,Data Definition
sub_part_definition,Data Definition
opt_part_options,Data Definition
part_option_list,Data Definition
part_option,Data Definition
alter_database_options,Database Management
alter_database_option,Database Management
opt_create_database_options,Database Management
create_database_options,Database Management
create_database_option,Database Management
opt_if_not_exists,Database Management
create_table_options_space_separated,Data Definition
create_table_options,Data Definition
opt_comma,Data Definition
create_table_option,Data Definition
ternary_option,Data Definition
default_charset,Data Definition
default_collation,Data Definition
default_encryption,Data Definition
row_types,Data Definition
merge_insert_types,Data Definition
udf_type,Data Definition
table_element_list,Data Definition
table_element,Data Definition
column_def,Data Definition
opt_references,Data Definition
table_constraint_def,Data Definition
check_constraint,Data Definition
opt_constraint_name,Data Definition
opt_not,Data Definition
opt_constraint_enforcement,Data Definition
constraint_enforcement,Data Definition
field_def,Data Definition
opt_generated_always,Data Definition
opt_stored_attribute,Data Definition
type,Data Definition
spatial_type,Data Definition
nchar,Data Definition
varchar,Data Definition
nvarchar,Data Definition
int_type,Data Definition
real_type,Data Definition
opt_PRECISION,Data Definition
numeric_type,Data Definition
standard_float_options,Data Definition
float_options,Data Definition
precision,Data Definition
type_datetime_precision,Data Definition
func_datetime_precision,Data Definition
field_options,Data Definition
field_opt_list,Data Definition
field_option,Data Definition
field_length,Data Definition
opt_field_length,Data Definition
opt_precision,Data Definition
opt_column_attribute_list,Data Definition
column_attribute_list,Data Definition
column_attribute,Data Definition
column_format,Data Definition
storage_media,Data Definition
now,Data Definition
now_or_signed_literal,Data Definition
character_set,Data Definition
charset_name,Data Definition
opt_load_data_charset,Data Definition
old_or_new_charset_name,Data Definition
old_or_new_charset_name_or_default,Data Definition
collation_name,Data Definition
opt_collate,Data Definition
opt_default,Data Definition
ascii,Data Definition
unicode,Data Definition
opt_charset_with_opt_binary,Data Definition
opt_bin_mod,Data Definition
ws_num_codepoints,Data Definition
1137_36,Data Definition
opt_primary,Data Definition
references,Data Definition
opt_ref_list,Data Definition
reference_list,Data Definition
opt_match_clause,Data Definition
opt_on_update_delete,Data Definition
delete_option,Data Definition
constraint_key_type,Data Definition
key_or_index,Data Definition
opt_key_or_index,Data Definition
keys_or_index,Data Definition
opt_unique,Data Definition
opt_fulltext_index_options,Data Definition
fulltext_index_options,Data Definition
fulltext_index_option,Data Definition
opt_spatial_index_options,Data Definition
spatial_index_options,Data Definition
spatial_index_option,Data Definition
opt_index_options,Data Definition
index_options,Data Definition
index_option,Data Definition
common_index_option,Data Definition
opt_index_name_and_type,Data Definition
opt_index_type_clause,Data Definition
index_type_clause,Data Definition
visibility,Data Definition
index_type,Data Definition
key_list,Data Definition
key_part,Data Definition
key_list_with_expression,Data Definition
key_part_with_expression,Data Definition
opt_ident,Data Definition
string_list,Data Definition
alter_table_stmt,Data Definition
alter_database_stmt,Database Management
1173_37,Database Management
alter_procedure_stmt,Stored Procedures & Functions
1175_38,Stored Procedures & Functions
alter_function_stmt,Stored Procedures & Functions
1177_39,Stored Procedures & Functions
alter_view_stmt,Views
1179_40,Views
1180_41,Views
alter_event_stmt,Triggers & Events
1182_42,Triggers & Events
alter_logfile_stmt,Data Definition
alter_tablespace_stmt,Data Definition
alter_undo_tablespace_stmt,Data Definition
alter_server_stmt,Replication & Clustering
alter_user_stmt,User Management
opt_replace_password,User Management
alter_resource_group_stmt,Resource Management
alter_user_command,User Management
opt_user_attribute,User Management
opt_account_lock_password_expire_options,User Management
opt_account_lock_password_expire_option_list,User Management
opt_account_lock_password_expire_option,User Management
connect_options,Replication & Clustering
connect_option_list,Replication & Clustering
connect_option,Replication & Clustering
user_func,Stored Procedures & Functions
ev_alter_on_schedule_completion,Triggers & Events
opt_ev_rename_to,Triggers & Events
opt_ev_sql_stmt,Triggers & Events
ident_or_empty,Statement Control
opt_alter_table_actions,Data Definition
standalone_alter_table_action,Data Definition
alter_table_partition_options,Data Definition
opt_alter_command_list,Data Definition
standalone_alter_commands,Data Definition
opt_with_validation,Data Definition
with_validation,Data Definition
all_or_alt_part_name_list,Data Definition
alter_list,Data Definition
alter_commands_modifier_list,Data Definition
alter_list_item,Data Definition
alter_commands_modifier,Data Definition
opt_index_lock_and_algorithm,Locking & Concurrency
alter_algorithm_option,Locking & Concurrency
alter_algorithm_option_value,Locking & Concurrency
alter_lock_option,Locking & Concurrency
alter_lock_option_value,Locking & Concurrency
opt_column,Data Definition
opt_ignore,Data Definition
opt_restrict,Data Definition
opt_place,Data Definition
opt_to,Data Definition
group_replication,Replication & Clustering
group_replication_start,Replication & Clustering
opt_group_replication_start_options,Replication & Clustering
group_replication_start_options,Replication & Clustering
group_replication_start_option,Replication & Clustering
group_replication_user,Replication & Clustering
group_replication_password,Replication & Clustering
group_replication_plugin_auth,Replication & Clustering
stop_replica_stmt,Replication & Clustering
start_replica_stmt,Replication & Clustering
1235_43,Replication & Clustering
1236_44,Replication & Clustering
start,Transaction Control
opt_start_transaction_option_list,Transaction Control
start_transaction_option_list,Transaction Control
start_transaction_option,Transaction Control
opt_user_option,Transaction Control
opt_password_option,Transaction Control
opt_default_auth_option,Transaction Control
opt_plugin_dir_option,Transaction Control
opt_replica_thread_option_list,Replication & Clustering
replica_thread_option_list,Replication & Clustering
replica_thread_option,Replication & Clustering
opt_replica_until,Replication & Clustering
replica_until,Replication & Clustering
checksum,System Maintenance
opt_checksum_type,System Maintenance
repair_table_stmt,System Maintenance
opt_mi_repair_types,System Maintenance
mi_repair_types,System Maintenance
mi_repair_type,System Maintenance
analyze_table_stmt,System Maintenance
opt_histogram_auto_update,System Maintenance
opt_histogram_num_buckets,System Maintenance
opt_histogram_update_param,System Maintenance
opt_histogram,System Maintenance
binlog_base64_event,Replication & Clustering
check_table_stmt,System Maintenance
opt_mi_check_types,System Maintenance
mi_check_types,System Maintenance
mi_check_type,System Maintenance
optimize_table_stmt,System Maintenance
opt_no_write_to_binlog,System Maintenance
rename,Data Definition
1269_45,Data Definition
rename_list,Data Definition
table_to_table_list,Data Definition
table_to_table,Data Definition
keycache_stmt,System Maintenance
keycache_list,System Maintenance
assign_to_keycache,System Maintenance
key_cache_name,System Maintenance
preload_stmt,System Maintenance
preload_list,System Maintenance
preload_keys,System Maintenance
adm_partition,Data Definition
opt_cache_key_list,System Maintenance
opt_ignore_leaves,System Maintenance
select_stmt,Data Query
